BeerBrand,BeerType,AlcoholPercentage,Brewery,
St. Paul Tripel,"abdijbier, tripel","5,00%",Brasserie du Bocq voor Brouwerij Sterkens,?-?
St. Sebastiaan Dark,abdijbier,"6,90%",Brasserie du Bocq voor Brouwerij Sterkens,?-?
St. Sebastiaan Grand Cru,abdijbier,"7,60%",Brasserie du Bocq voor Brouwerij Sterkens,?-?
Star Blond,blond,"0,40%",Brouwerij Haacht,?-?
Steenbrugge Blond,"abdijbier, blond","6,50%",Brouwerij Palm,2004-heden
Steenbrugge Dubbel Bruin,"abdijbier, tripel, bruin","6,50%",Brouwerij Palm (vroeger in Brouwerij De Gouden Boom),1914-1943 en 1958-? en 1972-heden
Steenbrugge Tripel,abdijbier,"8,70%",Brouwerij Palm (vroeger in Brouwerij De Gouden Boom),1958-? en 1972-heden
Steenbrugge Wit,witbier,"5,00%",Brouwerij Palm,2004-heden
Steendonk,witbier,"4,50%",Brouwerij Duvel Moortgat,?-?
Steenuilke,hoge gisting,"6,50%",Brouwerij De Rijck,?-heden
Stella Artois,"pils, lage gisting","5,20%",InBev,1926-heden
Stepa,"tripel, suikervrij","8,00%",De Proefbrouwerij voor Stepaja bvba,?-?
Stille Nacht,donker,"12,00%",De Dolle Brouwers,?-heden
Stoere Wulp,bruin,"6,50%",De Proefbrouwerij,?-?
Stoeren Bonk,amber,"6,30%",Brouwerij Van Steenberge,?-?
Stoeren Bonk Blond,blond,"8,00%",Brouwerij Van Steenberge,?-?
Stout Leroy,zoete stout,"5,00%",Brouwerij Het Sas,?-heden
Stoute Bie,donkerbruin,"5,50%",Brouwerij De Bie,?-?
Stouterik,stout,"4,50%",Brouwerij De Ranke voor Brasserie de la Senne,?-heden
Straffe Hendrik,"hoge gisting, tripel","9,00%",Brouwerij De Halve Maan,1981-heden
Straffe Hendrik Quadrupel,"hoge gisting, speciaalbier","11,00%",Brouwerij De Halve Maan,2010-heden
Straffe Hendrik Heritage,"hoge gisting, speciaalbier","11,00%",Brouwerij De Halve Maan,?-heden
*Straffe Toeback*,hoge gisting,"9,50%",Scheldebrouwerij,2009-heden (e 2009-2011)
Straffe Winter,geuze,"8,00%",Geuzestekerij 3 fonteinen,?-?
Strandgaper,goud,"6,20%",De Scheldebrouwerij,1996-heden
Strandjuttersbier Mong De Vos,quadrupel,"9,20%",Brouwerij Strubbe voor bierfirma Den Haene,?-?
Stropken,amber,"7,00%",Brouwerij Bios,1982-heden
Strubbe Pils,pils,"5,20%",Brouwerij Strubbe,?-heden (e 2007-heden)
Struise Rosse,"hoge gisting, Belgische pale ale","5,00%",De Struise Brouwers bij Brouwerij Deca,?-?
Struise Witte,hoge gisting,"5,00%",De Struise Brouwers bij Brouwerij Deca,?-?
Struiselensis,"hoge gisting, Belgische blonde ale","7,00%",De Struise Brouwers bij Brouwerij Deca,?-?
Suma Pils,etiketbier,"5,00%",Brouwerij Het Sas,1986-heden
Super 64,"hoge gisting, amber","5,00%",Brasserie de Silly,?-?
Super des Fagnes Blonde,"hoge gisting, blond","7,50%",Brasserie des Fagnes,1994?-heden
Super des Fagnes Brune,"hoge gisting, bruin","7,50%",Brasserie des Fagnes,1994?-heden
Super des Fagnes Griottes,"hoge gisting, kriek","4,80%",Brasserie des Fagnes,?-heden
Super des Fagnes Noel,"hoge gisting, bruin, kerstbier","8,50%",Brasserie des Fagnes,?-heden
Super des Fagnes Scotch,"hoge gisting, scotch","7,50%",Brasserie des Fagnes,?-heden
Super NoAH,IPA,"4,90%",Brouwers Verzet in Brouwerij De Ranke,
Superpils,pils,"4,30%",Brouwerij Strubbe,?-heden
Sur-les-Bois Ambrée,hoge gisting,"8,00%",Brasserie La Botteresse de Sur-les-Bois,?-?
Sur-les-Bois Blonde,hoge gisting,"7,00%",Brasserie La Botteresse de Sur-les-Bois,?-?
Sur-les-Bois Brune,hoge gisting,"9,00%",Brasserie La Botteresse de Sur-les-Bois,?-?
Svea IPA,IPA,"5,00%",De Struise Brouwers bij Brouwerij Deca,?-?
t Baronneke,stout,"6,50%",t Hofbrouwerijke,
t Gaverhopke Blondje,hoge gisting,"6,80%",Brouwerij 't Gaverhopke,?-heden
t Gaverhopke Bruintje,hoge gisting,"6,80%",Brouwerij 't Gaverhopke,?-heden
t Gaverhopke Kerstbier,"hoge gisting, kerstbier","6,80%",Brouwerij 't Gaverhopke,?-heden
t Gaverhopke Kriek,"hoge gisting, fruitbier","6,80%",Brouwerij 't Gaverhopke,?-heden
t Gaverhopke Paasbier,"hoge gisting, paasbier","8,00%",Brouwerij 't Gaverhopke,?-heden
*'t Schoenlappertje*,zwarte-bessenbier,"6,50%",De Scheldebrouwerij,1996-2002
*'t Schoenlappertje*,zwarte-bessenbier,"5,00%",De Scheldebrouwerij,2002-2011
*'t Smisje + dubbel IPA*,IPA,"10,00%",Brouwerij De Regenboog,2007-2010
*'t Smisje Bananenbier*,fruitbier,"6,00%",Brouwerij De Regenboog,2004-2010
*'t Smisje BBBourgondier*,hoge gisting,"12,00%",Brouwerij De Regenboog,2002-2010
*'t Smisje Blond*,hoge gisting,"6,00%",Brouwerij De Regenboog,1995-2010
*'t Smisje Calva Reserva*,hoge gisting,"12,00%",Brouwerij De Regenboog,?-2010
*'t Smisje Catherine The Great Imperial Stout*,stout,"10,00%",Brouwerij De Regenboog,2007-2010
*'t Smisje Cuvee 2005*,hoge gisting,"10,00%",Brouwerij De Regenboog,2005-2005
*'t Smisje Dubbel*,hoge gisting,"9,00%",Brouwerij De Regenboog,1997-2010
*'t Smisje Fiori*,hoge gisting,"7,00%",Brouwerij De Regenboog,2007-2010
*'t Smisje Grande Reserva*,hoge gisting,"11,00%",Brouwerij De Regenboog,?-2010
*'t Smisje Great Reserva*,hoge gisting,"10,00%",Brouwerij De Regenboog,?-2010
*'t Smisje Halloween*,hoge gisting,"10,50%",Brouwerij De Regenboog,2001-2010 (e 2001-2010)
*'t Smisje Honing*,honingbier,"6,00%",Brouwerij De Regenboog,2004-2010
*'t Smisje Honingbier Bruin*,honingbier,"6,00%",Brouwerij De Regenboog,1999-2008
*'t Smisje Kuvee Elektrik 979 W*,hoge gisting,"9,00%",Brouwerij De Regenboog,2008-2010
*'t Smisje Meso*,hoge gisting,"2,50%",Brouwerij De Regenboog,2007-2007
*'t Smisje Plus*,IPA,"10,00%",Brouwerij De Regenboog,2007-2010
*'t Smisje Sleedoornbier*,fruitbier,"6,00%",Brouwerij De Regenboog,?-2010
*'t Smisje Sleedoorn Extra*,fruitbier,"7,00%",Brouwerij De Regenboog,?-2010
*'t Smisje Speciaal*,hoge gisting,"10,50%",Brouwerij De Regenboog,2001-2010
*'t Smisje Tripel*,tripel,"9,00%",Brouwerij De Regenboog,1998-2010
t Zelfde,blond,"4,00%",Brouwerij Bosteels,?-heden
t Zwarte Gat Bier,donkerblond,"6,00%",Brouwerij De Regenboog,?-heden
Taras Boulba,blond,"4,50%",Brouwerij De Ranke voor Brasserie de la Senne,?-heden
Tatsevoet,speciale belge,"6,00%",Brouwerij Het Alternatief bij Brouwerij Alvinne,?-heden
Tempelier,speciaalbier,,Brouwerij De Sleutel,?-?
Tempelier,speciaalbier,"6,00%",Brasserie du Bocq voor Brouwerij Corsendonk,?-heden
Ter Dolen Armand,blond hoppig,"7,00%",Brouwerij Ter Dolen,?-heden
Ter Dolen Blond,blond,"6,10%",Kasteelbrouwerij De Dool,1994-heden
Ter Dolen Donker,bruin,"7,10%",Brouwerij Ter Dolen,1997-heden
Ter Dolen Kriek,fruitbier,"4,50%",Brouwerij Ter Dolen,2003-heden
Ter Dolen Tripel,tripel,"8,10%",Brouwerij Ter Dolen,1999-heden
Ter Dolen Winter,winterbier,"9,10%",Brouwerij Ter Dolen,?-heden
Terracotta,blond,"7,00%",Brouwerij De Regenboog,2002-heden
*Thouroutenaere*,,,brouwerij Louwaege,1987-2002
*Thouroutenaere*,,,brouwerij Lefebvre,2003-2003
Thouroutenaere,blond,"8,50%",Alken-Maes (Heineken),2004-heden
*Timmermans Caveau Gueuze*,geuze,"5,50%",Brouwerij Timmermans,?-heden
Timmermans Faro Lambic,faro,"4,00%",Brouwerij Timmermans,?-heden
Timmermans Framboise Lambic,fruitbier,"4,00%",Brouwerij Timmermans,?-heden
Timmermans Gueuze Lambic,geuze,"5,00%",Brouwerij Timmermans,?-heden
Timmermans Kriek Lambic,kriek,"4,00%",Brouwerij Timmermans,?-heden
Timmermans Kriek Retro,fruitbier,"5,00%",Brouwerij Timmermans,?-heden
Timmermans Lambicus Blanche,witbier,"4,50%",Brouwerij Timmermans,?-heden
Timmermans Oude Gueuze,lambiek,"5,50%",Brouwerij Timmermans,?-heden
Timmermans Oude Kriek,kriekenlambiek,"5,50%",Brouwerij Timmermans,?-heden
Timmermans Pêche Lambic,fruitbier,"4,00%",Brouwerij Timmermans,?-heden
Timmermans Strawberry Lambic,fruitbier,"4,00%",Brouwerij Timmermans,?-heden
Timmermans Warme Kriek,kriek,"4,00%",Brouwerij Timmermans,?-heden
Tineke Van Heule,hoge gisting,"8,00%",Brouwerij Gulden Spoor,?-heden
Titje,"hoge gisting, witbier","5,00%",Brasserie de Silly,1990-heden
Toetëlèr Amber Tripel,tripel,"8,50%",Brouwerij Den Toetëlèr,2011-heden
Toetëlèr Speculaas,speculaasbier,"8,50%",Brouwerij Den Toetëlèr,
Toetëlèr Wit,witbier,"5,20%",Brouwerij Den Toetëlèr,
Tongerlo Blond,"hoge gisting, abdijbier","6,00%",Brouwerij Haacht,?-heden
Tongerlo Bruin,"hoge gisting, abdijbier","6,00%",Brouwerij Haacht,?-heden
Tongerlo Christmas,"hoge gisting, abdijbier","6,50%",Brouwerij Haacht,?-heden
Tongerlo Prior,"hoge gisting, abdijbier","8,00%",Brouwerij Haacht,?-heden
Tongerlo Winterbier,"hoge gisting, abdijbier","7,00%",Brouwerij Haacht,?-heden
Tonneke,"hoge gisting, amber","5,00%",Brouwerij Contreras,1818-heden
Toria Blond,hoge gisting,"6,50%",Brouwerij De Graal voor De Hoevebrouwers,?-heden
Toria Tripel,"hoge gisting, tripel","8,70%",Brouwerij De Graal voor De Hoevebrouwers,?-heden
Totentrekker,amber,"5,50%",De Proefbrouwerij voor Buitenlust,?-heden
Tournay,hoge gisting,"6,70%",Brasserie de Cazeau,?-heden
Tournay de Noël,"stout, kerstbier","8,20%",Brasserie de Cazeau,?-heden
Tournay Noire,stout,"7,60%",Brasserie de Cazeau,?-heden
*Tournée Générale*,spéciale belge,"6,50%",Brouwerij Duvel Moortgat,2009-?
Tournée Générale Tripel Hop,"blond, hoge gisting","7,50%",Brouwerij Palm,2011-heden
Toverhekske,amber,"5,90%",Brouwerij Walrave,?-heden
Trammelantje,amber,"6,50%",Brouwerij Strubbe voor Bierfirma Den Haene,?-heden
Trappieter,amber,"6,50%",De Proefbrouwerij voor Bierfirma Trappieter,?-heden
Tremist,"hoge gisting, blond","6,00%",Brouwerij Van Eecke voor Extremis,2010-heden
Triest Blond,hoge gisting,"6,00%",Microbrouwerij Den Triest,?-heden
Triest Dubbel,hoge gisting,"8,00%",Microbrouwerij Den Triest,?-heden
Triest Kriek,"witbier, fruitbier","5,20%",Microbrouwerij Den Triest,?-heden
Triest Tripel,"hoge gisting, tripel","7,50%",Microbrouwerij Den Triest,?-heden
Triest X-mas,"hoge gisting, kerstbier","8,50%",Microbrouwerij Den Triest,?-heden
Triomfbier Vooruit,amber,"6,00%",Brasserie Dupont voor Kunstencentrum Vooruit,2013-heden
Tripel Kanunnik,tripel,"8,20%",Brouwerij en stokerij Wilderen,2011-heden
Tripel Karmeliet,tripel,"8,40%",Brouwerij Bosteels,1996-heden
Tripel Klok,tripel,"8,50%",Brouwerij Boelens,2009-heden
Tripel Trezeke,tripel,"7,50%",Brouwerij Den Triest,?-?
Triple de Brabant,"tripel, blond","8,50%",Groep John Martin,?-heden
*Triple Jack*,pale ale,"6,10%",Brouwerij Stokhove,
Triple Moine,tripel,"7,30%",Brasserie Du Bocq,1987-heden
Triporteur from Heaven,"ale, blond","6,20%",Brouwerij Anders! voor BOMBrewery,
Triporteur from Hell,"ale, bruin","6,60%",Brouwerij Anders! voor BOMBrewery,
Trisser,tripel,"7,50%",De Proefbrouwerij voor De Verhuisbrouwerij,2004-heden
Triverius,tarwebier,"6,80%",Brouwerij De Graal,?-?
Troubadour Blond,blond,"6,50%",De Proefbrouwerij voor Brouwerij The Musketeers,2000-heden
Troubadour Imperial Stout,imperial stout,"9,00%",De Proefbrouwerij voor Brouwerij The Musketeers,
Troubadour Magma,tripel India Pale Ale,"9,00%",De Proefbrouwerij voor Brouwerij The Musketeers,2010-heden
Troubadour Obscura,stout,"8,20%",De Proefbrouwerij voor Brouwerij The Musketeers,?-heden
Troubadour Spéciale,speciale belge,"5,70%",De Proefbrouwerij voor Brouwerij The Musketeers,?-heden
Troublette,witbier,"5,00%",Brasserie Caracole,1992-heden
TRPL,"hoge gisting, biologisch, tripel","8,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2002-heden
Tsjeeses,"hoge gisting, blond","10,00%",De Struise Brouwers,
Tsjeeses Reserva,"hoge gisting, goud","10,00%",De Struise Brouwers,
Tumulus 800,tarwebier,"6,00%",De Proefbrouwerij in opdracht van De Kale Ridders,2011-heden
Tumulus Aura,tarwebier,"5,50%",De Proefbrouwerij in opdracht van De Kale Ridders,?-heden
Tumulus Magna,tarwebier,"9,00%",De Proefbrouwerij in opdracht van De Kale Ridders,2008-heden
Tumulus Nera,tarwebier,"8,00%",De Proefbrouwerij in opdracht van De Kale Ridders,?-heden
Turnhoutse Patriot,saison,"6,50%",Scheldebrouwerij voor Hobbybrouwerij Het Nest,2012-heden
Tuverbol,gemengde gisting,"11,00%",Brouwerij Loterbol,2006-heden
Uilenspiegelbier,dubbel,"7,00%",Brouwerij Van Steenberge,1957-heden (e ?-heden)
Uitzet 1730,tripel,"6,80%",Brouwerij Van Steenberge voor Brouwerij Paeleman,1730-heden
Uitzet Kriekbier,fruitbier,"7,50%",Brouwerij Van Steenberge voor Brouwerij Paeleman,?-heden
Ulricher Extra,pils,"5,00%",Brouwerij Girardin,?-heden
Ultra Ambrée,"ale, amber, hoge gisting","7,00%",Brasserie d'Ecaussinnes,2001-heden
Ultra Fraîche,lichtblond,"3,50%",Brasserie d'Ecaussinnes,2006-heden
Ultra Soif,"blond, hoge gisting","5,00%",Brasserie d'Ecaussinnes,2002-heden
Ultramour,fruitbier,"5,00%",Brasserie d'Ecaussinnes,2002-heden
Ultra Blonde,blond,"8,00%",Brasserie d'Ecaussinnes,2001-heden
Ultradélice,bruin,"8,00%",Brasserie d'Ecaussinnes,2003-heden
Ultrabrune,donkerbruin,"10,00%",Brasserie d'Ecaussinnes,2001-heden
Unkerzak,blond,"7,00%",De Proefbrouwerij,1997-heden
Urchon,hoge gisting,"7,50%",Brasserie des Légendes,?-heden
Urthel Hop-It,blonde India Pale Ale,"9,50%",Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel,2005-heden
Urthel Hibernus Quentum,tripel,"9,00%",Brouwerij De Leyerth,2000-2010
Urthel Novicius Vertus,donker speciaalbier,"5,90%",Brouwerij Urthel,2000-2004
Urthel Parlus Magnificum,donkerbruin,"7,50%",Brouwerij De Leyerth,?-2010
Urthel Saisonnière,blond speciaalbier,"6,00%",Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel,2009-heden
Urthel Samaranth,"amberkleurig speciaalbier, hoge gisting","11,50%",Brouwerij De Koningshoeven in opdracht van Brouwerij Urthel,2002-heden
Urthel Vleamse Bock,donkerbruin,"7,50%",Brouwerij De Leyerth,?-2010
Urthel Tonicum Finiboldus,amber,"7,50%",Brouwerij De Leyerth,2000-2004
Val-Dieu Blonde,Erkend Belgisch abdijbier,"6,00%",Brouwerij Val-Dieu,1997-heden
Val-Dieu Brune,Erkend Belgisch abdijbier,"8,00%",Brouwerij Val-Dieu,1997-heden
Val-Dieu Bière de Noël,Erkend Belgisch abdijbier,"7,00%",Brouwerij Val-Dieu,?-heden
Val-Dieu Grand Cru,Erkend Belgisch abdijbier,"10,50%",Brouwerij Val-Dieu,?-heden
Val-Dieu Triple,"Erkend Belgisch abdijbier, tripel","9,00%",Brouwerij Val-Dieu,1998-heden
Val-Dieu Triple,tripel,,Brasserie d'Aubel,?-1995
Val-Dieu Triple,tripel,"9,00%",Brouwerij Van Honsebroeck,1984-?
Valeir Blond,"hoge gisting, blond","6,50%",Brouwerij Contreras,2004-heden
Valeir Divers,"hoge gisting, tripel","8,50%",Brouwerij Contreras,2005-heden
Valeir Donker,hoge gisting,"6,50%",Brouwerij Contreras,2006-heden
Valeir Extra,"hoge gisting, IPA","6,50%",Brouwerij Contreras,2008-heden
Vals Paterke,tripel,"8,30%",Brouwerij De Graal voor *t'Drankorgel*,
Vanderghinste oud bruin,West-Vlaams roodbruin,"5,50%",Brouwerij Bockor,1892-heden
Vapeur cochonne,Belgian ale,"9,00%",Brasserie à Vapeur,1992-heden
Vat 44,geuze,"8,00%",Brouwerij Boon,
Vedett Extra Blond,blond,"5,20%",Brouwerij Duvel Moortgat,1945-heden
Vedett Extra White,witbier,"4,70%",Brouwerij Duvel Moortgat,2008-heden
Vedett Extra ordinary IPA,blond,"6,00%",Brouwerij Duvel Moortgat,2014-heden
Verhaeghe Pils,pils,"5,10%",Brouwerij Verhaeghe,?-heden
*Vicardin*,tripel-gueuze,"7,00%",Brouwerij Dilewyns,2007-2012
Vicaris 5,hoge gisting,"5,00%",Brouwerij Dilewyns,2011-2012
Vicaris Generaal,hoge gisting,"8,80%",Brouwerij Dilewyns,2006-heden
*Vicaris Kerst*,"hoge gisting, kerstbier","10,00%",Brouwerij Dilewyns,2009-2011
Vicaris Tripel,"hoge gisting, tripel","8,50%",Brouwerij Dilewyns (vroeger De Proefbrouwerij),2005-heden
Vicaris Tripel Geuze,"hoge gisting, tripel",,Brouwerij Dilewyns,2012-heden
Vicaris Quinto,hoge gisting,"5,00%",Brouwerij Dilewyns,2012-heden
Vicaris Winter,"hoge gisting, kerstbier","10,00%",Brouwerij Dilewyns,2011-heden
Vichtenaar,roodbruine ale,"5,10%",Brouwerij Verhaeghe,?-heden
*Vieux Bruges Blanche*,"etiketbier, witbier","4,50%",Brouwerij Van Honsebrouck,1992-?
*Vieux Bruges Framboise(s)*,fruitbier,,Brouwerij Van Honsebrouck,?-heden (e ?-?)
*Vieux Bruges Gueuze*,geuze,"5,00%",Brouwerij Van Honsebrouck,?-heden (e ?-?)
Vieux Bruges Kriek,etiketbier,"3,20%",Brouwerij Van Honsebrouck,?-heden (e ?-?)
*Vieux Bruges Kriek Lambic*,etiketbier,"5,00%",Brouwerij Van Honsebrouck,?-heden (e ?-?)
*Vieux Bruges Peche*,fruitbier,"3,50%",Brouwerij Van Honsebrouck,?-heden (e ?-?)
*Vieux Bruxelles Gueuze*,etiketbier,"5,00%",Brouwerij Van Honsebrouck,?-heden (e ?-?)
Vieux Bruxelles Kriek,etiketbier,"4,00%",Brouwerij Van Honsebrouck,?-heden (e ?-?)
Vieux Temps,speciale belge,"5,20%",AB Inbev (vroeger brouwerij Grade),
Villers Tripel,"abdijbier, tripel","8,00%",Brouwerij Huyghe,
Villers Vieille,abdijbier,"7,00%",Brouwerij Huyghe,
Vingeronne,"fruitbier, lambiek","6,00%",Brouwerij Cantillon,?-heden
Vinkenier,streekbier,"10,80%",Brouwerij Eutropius,?-heden
Viven Ale,speciale belge,"5,00%",De Proefbrouwerij voor Beerdevelopment Viven,2010-heden
Viven Blond,blond,"6,10%",De Proefbrouwerij voor Beerdevelopment Viven,1999-2003 en 2006-heden
Viven Bruin,dubbel,"6,10%",De Proefbrouwerij voor Beerdevelopment Viven,1999-2003 en 2006-heden
Viven Imperial IPA,Imperial IPA,"8,00%",De Proefbrouwerij voor Beerdevelopment Viven,2010-heden
Viven Porter,smoked Porter,"7,00%",De Proefbrouwerij voor Beerdevelopment Viven,2010-heden
*Vlaamsch Wit*,witbier,"4,50%",Brouwerij Van Honsebrouck,1992-?
*Vlaamsche Leeuw Blondje*,blond,"5,50%",Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen,2002-2011
Vlaamsche Leeuw Donker,bruin,"7,50%",Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen,2002-heden
Vlaamsche Leeuw Tripel,tripel,"8,50%",Brouwerij Van Steenberge voor De Brouwerij van Vlaanderen,2002-heden
Vlasbier,blond,"6,50%",Brouwerij Van Eecke,?-heden
Vlaskapelle,Vlaams roodbruin,"5,00%",Brouwerij Gulden Spoor,?-?
Vlaskop,witbier,"5,50%",Brouwerij Strubbe,?-heden
*Vleteren Alt*,ale donker,"8,00%",Brouwerij Deca,?-2013
Vleteren Bruin,donkere ale,"8,00%",Brouwerij Deca,2013-heden
*Vleteren Super 8 Blond*,blond,"8,00%",Brouwerij Deca,1991-2008
*Vondel*,donkerbruin,"8,50%",Brouwerij Liefmans,?-2007
*Vossen met de Meynen Blond*,etiketbier,"6,50%",Brouwerij Het Anker,?-? (e 2008-?)
*Vossen met de Meynen 69*,"hoge gisting, blond","6,90%",Brouwerij Hof ten Dormaal,?-?
Vurig Bierreke,tripel,"11,50%",Brouwerij DijkWaert,2010-heden
*Vuuve*,witbier,"5,00%",Brouwerij De Regenboog,2000-2010
*Waardams Blond*,blond,"6,10%",Brouwerij Stokhove,
*Waardamse Dubbel*,bruin,"7,00%",Brouwerij Stokhove,
*Waardamse Tripel*,tripel,"8,60%",Brouwerij Stokhove,
Waas Klok Bier Bruin,donker,"8,50%",Brouwerij Boelens,1995-heden
Waas Klok Bier Tripel,tripel,"8,50%",Brouwerij Boelens,2009-heden
Waase Wolf,amber,"6,00%",Brouwerij Boelens,2001-heden
Waaslander,witbier,"5,00%",Brouwerij Boelens,2005-heden
Waterloo Tripel 7 Blond,blond,,Brasserie du Marché,?-1971
Waterloo Double 8 Dark,bruin,"8,50%",Brasserie Du Bocq,2005-heden
Waterloo Tripel 7 Blond,blond,"7,50%",Brasserie Du Bocq,2005-heden
Watneys Scotch Ale,scotch,"8,00%","Brouwerij Union, later Alken-Maes",ca 1920-heden
Watou Tripel,tripel,"7,50%",Brouwerij St. Bernardus,1998-heden
Watou's Wit,witbier,"5,00%",Brouwerij Van Eecke,1988-heden
Wechelse Tripel,etiketbier,"7,50%",Brouwerij St. Bernardus voor *café Den Toerist*,ca 2009-heden
West Pils,pils,"5,00%",Brouwerij Het Sas,1986-heden
Westmalle Dubbel,trappist,"7,00%",Brouwerij Westmalle,1856-heden
Westmalle Tripel,trappist,"9,50%",Brouwerij Westmalle,1934-heden
Westmalle Extra,trappist,"4,80%",Brouwerij Westmalle,?-heden
Westoek X,hoge gisting,"6,00%",De Struise Brouwers,
Westoek XX,hoge gisting,"8,00%",De Struise Brouwers,
Westvleteren Blond,trappist,"5,80%",Sint-Sixtusabdij van Westvleteren,?-heden
*Westvleteren Zes*,trappist,"6,20%",Sint-Sixtusabdij van Westvleteren,1998-heden
Westvleteren Acht,trappist,"8,00%",Sint-Sixtusabdij van Westvleteren,?-heden
Westvleteren Twaalf,trappist,"10,20%",Sint-Sixtusabdij van Westvleteren,?-heden
Wevelgemse Tripel,tripel,"8,00%",Brouwerij De Ranke voor Bierwinkel Bacelle,1997-heden
White by Mystic,witbier,"5,10%",Brouwerij Haacht,2011-heden
*Wieze Christmas Tripel Hop*,tripel kerstbier,"8,00%",Brouwerij Wieze,2013
*Wieze Pils*,pils,,Brouwerij Van Roy,1866?-1997
Wieze Tripel,tripel,"8,00%",Brouwerij Roman voor Wieze Beer Belgium,2013-heden
*Wieze Tripel Blond*,tripel,"8,00%",Brouwerij Wieze,2009-2013
*Wieze Tripel zoet Bruin*,tripel,"8,00%",Brouwerij Wieze,2009-2013
Wildebok,"hoge gisting, bockbier","6,50%",De Scheldebrouwerij,1995-heden
Wilderen Goud,hoge gisting,"6,20%",Brouwerij Wilderen,2011-heden
Wilderen Kriek,kriek,"3,50%",Brouwerij Wilderen,2012-heden
Wilderen Cuvee Clarisse,roodbier,,Brouwerij Wilderen,?-heden
Wild Jo,"blond, met wilde gisten","5,80%",Brouwerij De Koninck,
*Willy Kriegelbier*,donkerblond,"7,00%",Huisbrouwerij Sint Canarus,2007-?
Winter Zjef,winterbier,"9,00%",Brouwerij 't Paenhuys,
*Winterkoninck*,robijnrood,"6,50%",Brouwerij De Koninck (Duvel-Moortgat),2002-2011
Winterkoninkske,hoge gisting,"8,30%",Brouwerij Sint-Jozef voor brouwerij Kerkom,2000-heden
Winterkoninkske Haspengouwse Grand Cru,"hoge gisting, kerstbier","13,00%",Brouwerij Sint-Jozef voor brouwerij Kerkom,2009-heden
Wintersnood,winterbier,"6,40%",‘t Hofbrouwerijke voor De Verhuisbrouwerij,2010-?
Witbier Haacht,witbier,"5,10%",Brouwerij Haacht,1989-2011
Wit Goud,hoge gisting,"8,00%",Brouwerij Hof ten Dormaal,2010-heden
Witheer,witbier,,Scheldebrouwerij,1998-2002
Witheer,witbier,"5,00%",Scheldebrouwerij,2002-heden
Witkap Pater Dubbel,"hoge gisting, bruin","7,00%",Brouwerij Slaghmuylder,?-heden
Witkap Pater Special,"hoge gisting, amber","5,50%",Brouwerij Slagmuylder,2004-heden
Witkap Pater Stimulo,"hoge gisting, blond","6,00%",Brouwerij Slaghmuylder,?-heden
Witkap Pater Tripel,"hoge gisting, tripel","7,50%",Brouwerij Slagmuylder,?-heden
Wittekerke,witbier,"5,00%",Brouwerij Bavik,1998-heden
Wittekerke Passion,"witbier, fruitbier","5,80%",Brouwerij Bavik,
Wittekerke Rosé,"witbier, fruitbier","4,30%",Brouwerij Bavik,2005-heden
Wittekerke Special,witbier,"5,80%",Brouwerij Bavik,1999-heden
Witte Madam,"hoge gisting, amber","8,50%",Scheldebrouwerij Hoogstraten,
Witte Pol,witbier,"5,60%",Brouwerij Inter-Pol,
Wittoen,"hoge gisting, tripel","7,00%",Brouwerij Strubbe,2004-heden
Wolf 6,blond,"6,90%",Brouwerij Lupus,2015-heden
Wolf 7,blond,"7,40%",Brouwerij Lupus,?-heden
Wolf 8,donkerbruin,"8,50%",Brouwerij Lupus,2008-heden
Wolf 9,amber,"9,00%",Brouwerij Lupus,2008-heden
Wolf Carte Blanche,blond,"8,50%",Brouwerij Lupus,2014-heden
Wolf Black,,"5,60%",Brouwerij Lupus,2014-heden
*Wostyntje*,mosterdbier,"7,00%",Brouwerij De Regenboog,1998-2010
Xenophon’s Wine,,"11,00%",De Struise Brouwers,
X-Mas Beer,"hoge gisting, blond","8,50%",Brouwerij Contreras,2004-heden
XX Bitter,"hoge gisting, blond","6,20%",Brouwerij De Ranke,1998-heden
XXX Bitter,"hoge gisting, blond","6,00%",Brouwerij De Ranke,2013-heden
Yperman,ale,"5,50%",Brouwerij Het Sas,1989-heden
*Yellow Mortal*,ale,"7,20%",Brouwerij Mortal's Beers,
Zatte Bie,donker,"9,00%",Brouwerij De Bie,?-heden
Zeezuiper,goudblonde tripel,"8,00%",De Scheldebrouwerij,1994-heden
Zennenat,hoge gisting,"6,00%",Brouwerij Den Herberg,2011-heden
Zeunt,hoge gisting,"7,00%",De Proefbrouwerij voor het Zeuntcomité,2000-heden
Zeven Zonden Gula,hoge gisting,"9,00%",Brouwerij Gulden Spoor voor bierfirma Hugel,2011-heden
Zeven Zonden Invidia,hoge gisting,"10,00%",Brouwerij Gulden Spoor voor bierfirma Hugel,2013-heden
Zeven Zonden Luxuria,hoge gisting,"8,50%",Brouwerij Gulden Spoor voor bierfirma Hugel,2010-heden
Zingende Blondine,hoge gisting,"9,80%",Brouwerij 't Gaverhopke,2008-heden
Zinnebir,blond,"5,80%",Brouwerij De Ranke voor Brasserie de la Senne,2002-heden
Zoeg,pils,"5,00%",brouwerij Pieraerts,1890-1955
